image_path,labels
garbage_classification\cardboard\cardboard412.jpg,cardboard
garbage_classification\shoes\shoes141.jpg,shoes
garbage_classification\cardboard\cardboard17.jpg,cardboard
garbage_classification\plastic\plastic384.jpg,plastic
garbage_classification\cardboard\cardboard750.jpg,cardboard
garbage_classification\battery\battery845.jpg,battery
garbage_classification\shoes\shoes690.jpg,shoes
garbage_classification\white-glass\white-glass75.jpg,white-glass
garbage_classification\clothes\clothes4014.jpg,clothes
garbage_classification\clothes\clothes4637.jpg,clothes
garbage_classification\brown-glass\brown-glass2.jpg,brown-glass
garbage_classification\plastic\plastic790.jpg,plastic
garbage_classification\shoes\shoes1368.jpg,shoes
garbage_classification\green-glass\green-glass369.jpg,green-glass
garbage_classification\green-glass\green-glass232.jpg,green-glass
garbage_classification\biological\biological106.jpg,biological
garbage_classification\shoes\shoes239.jpg,shoes
garbage_classification\green-glass\green-glass330.jpg,green-glass
garbage_classification\clothes\clothes1111.jpg,clothes
garbage_classification\plastic\plastic698.jpg,plastic
garbage_classification\clothes\clothes1530.jpg,clothes
garbage_classification\shoes\shoes1474.jpg,shoes
garbage_classification\clothes\clothes4414.jpg,clothes
garbage_classification\clothes\clothes1202.jpg,clothes
garbage_classification\shoes\shoes452.jpg,shoes
garbage_classification\battery\battery758.jpg,battery
garbage_classification\biological\biological777.jpg,biological
garbage_classification\paper\paper829.jpg,paper
garbage_classification\shoes\shoes1639.jpg,shoes
garbage_classification\biological\biological99.jpg,biological
garbage_classification\biological\biological759.jpg,biological
garbage_classification\shoes\shoes524.jpg,shoes
garbage_classification\paper\paper808.jpg,paper
garbage_classification\clothes\clothes2276.jpg,clothes
garbage_classification\green-glass\green-glass580.jpg,green-glass
garbage_classification\plastic\plastic292.jpg,plastic
garbage_classification\shoes\shoes168.jpg,shoes
garbage_classification\metal\metal518.jpg,metal
garbage_classification\biological\biological514.jpg,biological
garbage_classification\plastic\plastic514.jpg,plastic
garbage_classification\clothes\clothes2780.jpg,clothes
garbage_classification\trash\trash195.jpg,trash
garbage_classification\brown-glass\brown-glass92.jpg,brown-glass
garbage_classification\clothes\clothes5159.jpg,clothes
garbage_classification\brown-glass\brown-glass170.jpg,brown-glass
garbage_classification\shoes\shoes285.jpg,shoes
garbage_classification\clothes\clothes1587.jpg,clothes
garbage_classification\clothes\clothes2029.jpg,clothes
garbage_classification\clothes\clothes3513.jpg,clothes
garbage_classification\clothes\clothes1815.jpg,clothes
garbage_classification\plastic\plastic413.jpg,plastic
garbage_classification\biological\biological104.jpg,biological
garbage_classification\clothes\clothes1744.jpg,clothes
garbage_classification\clothes\clothes815.jpg,clothes
garbage_classification\shoes\shoes775.jpg,shoes
garbage_classification\clothes\clothes3017.jpg,clothes
garbage_classification\cardboard\cardboard461.jpg,cardboard
garbage_classification\clothes\clothes2056.jpg,clothes
garbage_classification\clothes\clothes4031.jpg,clothes
garbage_classification\paper\paper899.jpg,paper
garbage_classification\white-glass\white-glass166.jpg,white-glass
garbage_classification\clothes\clothes758.jpg,clothes
garbage_classification\battery\battery536.jpg,battery
garbage_classification\battery\battery469.jpg,battery
garbage_classification\clothes\clothes3372.jpg,clothes
garbage_classification\trash\trash387.jpg,trash
garbage_classification\clothes\clothes296.jpg,clothes
garbage_classification\clothes\clothes4949.jpg,clothes
garbage_classification\clothes\clothes170.jpg,clothes
garbage_classification\trash\trash159.jpg,trash
garbage_classification\paper\paper179.jpg,paper
garbage_classification\clothes\clothes2025.jpg,clothes
garbage_classification\clothes\clothes4084.jpg,clothes
garbage_classification\white-glass\white-glass413.jpg,white-glass
garbage_classification\clothes\clothes3992.jpg,clothes
garbage_classification\biological\biological329.jpg,biological
garbage_classification\clothes\clothes1029.jpg,clothes
garbage_classification\battery\battery15.jpg,battery
garbage_classification\paper\paper586.jpg,paper
garbage_classification\clothes\clothes1050.jpg,clothes
garbage_classification\clothes\clothes4544.jpg,clothes
garbage_classification\clothes\clothes779.jpg,clothes
garbage_classification\metal\metal22.jpg,metal
garbage_classification\biological\biological600.jpg,biological
garbage_classification\clothes\clothes4591.jpg,clothes
garbage_classification\clothes\clothes1876.jpg,clothes
garbage_classification\clothes\clothes2966.jpg,clothes
garbage_classification\clothes\clothes4679.jpg,clothes
garbage_classification\plastic\plastic191.jpg,plastic
garbage_classification\shoes\shoes1314.jpg,shoes
garbage_classification\white-glass\white-glass144.jpg,white-glass
garbage_classification\clothes\clothes4657.jpg,clothes
garbage_classification\clothes\clothes3006.jpg,clothes
garbage_classification\paper\paper591.jpg,paper
garbage_classification\shoes\shoes457.jpg,shoes
garbage_classification\white-glass\white-glass104.jpg,white-glass
garbage_classification\battery\battery838.jpg,battery
garbage_classification\clothes\clothes4152.jpg,clothes
garbage_classification\battery\battery424.jpg,battery
garbage_classification\paper\paper471.jpg,paper
garbage_classification\battery\battery302.jpg,battery
garbage_classification\clothes\clothes1575.jpg,clothes
garbage_classification\plastic\plastic734.jpg,plastic
garbage_classification\shoes\shoes1724.jpg,shoes
garbage_classification\trash\trash690.jpg,trash
garbage_classification\clothes\clothes4710.jpg,clothes
garbage_classification\green-glass\green-glass380.jpg,green-glass
garbage_classification\cardboard\cardboard430.jpg,cardboard
garbage_classification\trash\trash397.jpg,trash
garbage_classification\clothes\clothes3034.jpg,clothes
garbage_classification\paper\paper694.jpg,paper
garbage_classification\paper\paper272.jpg,paper
garbage_classification\metal\metal324.jpg,metal
garbage_classification\shoes\shoes54.jpg,shoes
garbage_classification\plastic\plastic424.jpg,plastic
garbage_classification\shoes\shoes1175.jpg,shoes
garbage_classification\clothes\clothes1967.jpg,clothes
garbage_classification\battery\battery269.jpg,battery
garbage_classification\clothes\clothes1689.jpg,clothes
garbage_classification\clothes\clothes1963.jpg,clothes
garbage_classification\cardboard\cardboard516.jpg,cardboard
garbage_classification\clothes\clothes4410.jpg,clothes
garbage_classification\clothes\clothes4693.jpg,clothes
garbage_classification\brown-glass\brown-glass495.jpg,brown-glass
garbage_classification\clothes\clothes1542.jpg,clothes
garbage_classification\clothes\clothes1917.jpg,clothes
garbage_classification\white-glass\white-glass622.jpg,white-glass
garbage_classification\clothes\clothes637.jpg,clothes
garbage_classification\battery\battery555.jpg,battery
garbage_classification\clothes\clothes4638.jpg,clothes
garbage_classification\biological\biological948.jpg,biological
garbage_classification\clothes\clothes217.jpg,clothes
garbage_classification\biological\biological31.jpg,biological
garbage_classification\shoes\shoes1967.jpg,shoes
garbage_classification\clothes\clothes4668.jpg,clothes
garbage_classification\biological\biological983.jpg,biological
garbage_classification\brown-glass\brown-glass476.jpg,brown-glass
garbage_classification\clothes\clothes3132.jpg,clothes
garbage_classification\biological\biological93.jpg,biological
garbage_classification\cardboard\cardboard547.jpg,cardboard
garbage_classification\clothes\clothes4809.jpg,clothes
garbage_classification\cardboard\cardboard180.jpg,cardboard
garbage_classification\brown-glass\brown-glass397.jpg,brown-glass
garbage_classification\clothes\clothes2818.jpg,clothes
garbage_classification\trash\trash554.jpg,trash
garbage_classification\clothes\clothes1168.jpg,clothes
garbage_classification\clothes\clothes3476.jpg,clothes
garbage_classification\clothes\clothes3409.jpg,clothes
garbage_classification\cardboard\cardboard326.jpg,cardboard
garbage_classification\brown-glass\brown-glass578.jpg,brown-glass
garbage_classification\battery\battery139.jpg,battery
garbage_classification\plastic\plastic285.jpg,plastic
garbage_classification\clothes\clothes2125.jpg,clothes
garbage_classification\clothes\clothes1000.jpg,clothes
garbage_classification\shoes\shoes1208.jpg,shoes
garbage_classification\trash\trash284.jpg,trash
garbage_classification\brown-glass\brown-glass138.jpg,brown-glass
garbage_classification\clothes\clothes2622.jpg,clothes
garbage_classification\shoes\shoes839.jpg,shoes
garbage_classification\metal\metal644.jpg,metal
garbage_classification\shoes\shoes1291.jpg,shoes
garbage_classification\metal\metal301.jpg,metal
garbage_classification\shoes\shoes582.jpg,shoes
garbage_classification\clothes\clothes2275.jpg,clothes
garbage_classification\biological\biological808.jpg,biological
garbage_classification\clothes\clothes4033.jpg,clothes
garbage_classification\metal\metal718.jpg,metal
garbage_classification\shoes\shoes666.jpg,shoes
garbage_classification\clothes\clothes3349.jpg,clothes
garbage_classification\shoes\shoes1113.jpg,shoes
garbage_classification\brown-glass\brown-glass75.jpg,brown-glass
garbage_classification\biological\biological194.jpg,biological
garbage_classification\clothes\clothes752.jpg,clothes
garbage_classification\metal\metal57.jpg,metal
garbage_classification\trash\trash54.jpg,trash
garbage_classification\shoes\shoes763.jpg,shoes
garbage_classification\white-glass\white-glass578.jpg,white-glass
garbage_classification\cardboard\cardboard246.jpg,cardboard
garbage_classification\trash\trash82.jpg,trash
garbage_classification\battery\battery68.jpg,battery
garbage_classification\paper\paper837.jpg,paper
garbage_classification\brown-glass\brown-glass598.jpg,brown-glass
garbage_classification\plastic\plastic119.jpg,plastic
garbage_classification\white-glass\white-glass557.jpg,white-glass
garbage_classification\biological\biological950.jpg,biological
garbage_classification\green-glass\green-glass463.jpg,green-glass
garbage_classification\battery\battery590.jpg,battery
garbage_classification\clothes\clothes293.jpg,clothes
garbage_classification\battery\battery138.jpg,battery
garbage_classification\plastic\plastic419.jpg,plastic
garbage_classification\clothes\clothes191.jpg,clothes
garbage_classification\clothes\clothes4091.jpg,clothes
garbage_classification\shoes\shoes137.jpg,shoes
garbage_classification\shoes\shoes1445.jpg,shoes
garbage_classification\cardboard\cardboard229.jpg,cardboard
garbage_classification\paper\paper115.jpg,paper
garbage_classification\clothes\clothes980.jpg,clothes
garbage_classification\clothes\clothes803.jpg,clothes
garbage_classification\biological\biological205.jpg,biological
garbage_classification\clothes\clothes1041.jpg,clothes
garbage_classification\shoes\shoes1035.jpg,shoes
garbage_classification\metal\metal85.jpg,metal
garbage_classification\shoes\shoes1714.jpg,shoes
garbage_classification\clothes\clothes56.jpg,clothes
garbage_classification\shoes\shoes862.jpg,shoes
garbage_classification\green-glass\green-glass148.jpg,green-glass
garbage_classification\plastic\plastic712.jpg,plastic
garbage_classification\battery\battery860.jpg,battery
garbage_classification\white-glass\white-glass526.jpg,white-glass
garbage_classification\white-glass\white-glass271.jpg,white-glass
garbage_classification\clothes\clothes4951.jpg,clothes
garbage_classification\paper\paper465.jpg,paper
garbage_classification\clothes\clothes3043.jpg,clothes
garbage_classification\plastic\plastic389.jpg,plastic
garbage_classification\green-glass\green-glass367.jpg,green-glass
garbage_classification\shoes\shoes1564.jpg,shoes
garbage_classification\clothes\clothes503.jpg,clothes
garbage_classification\clothes\clothes4804.jpg,clothes
garbage_classification\battery\battery12.jpg,battery
garbage_classification\trash\trash405.jpg,trash
garbage_classification\biological\biological573.jpg,biological
garbage_classification\clothes\clothes265.jpg,clothes
garbage_classification\shoes\shoes1577.jpg,shoes
garbage_classification\cardboard\cardboard735.jpg,cardboard
garbage_classification\shoes\shoes1916.jpg,shoes
garbage_classification\clothes\clothes4426.jpg,clothes
garbage_classification\clothes\clothes5140.jpg,clothes
garbage_classification\shoes\shoes3.jpg,shoes
garbage_classification\clothes\clothes3021.jpg,clothes
garbage_classification\clothes\clothes2821.jpg,clothes
garbage_classification\plastic\plastic784.jpg,plastic
garbage_classification\battery\battery900.jpg,battery
garbage_classification\clothes\clothes137.jpg,clothes
garbage_classification\shoes\shoes1367.jpg,shoes
garbage_classification\clothes\clothes2314.jpg,clothes
garbage_classification\white-glass\white-glass264.jpg,white-glass
garbage_classification\clothes\clothes2541.jpg,clothes
garbage_classification\clothes\clothes3626.jpg,clothes
garbage_classification\clothes\clothes1336.jpg,clothes
garbage_classification\clothes\clothes2798.jpg,clothes
garbage_classification\shoes\shoes1256.jpg,shoes
garbage_classification\paper\paper919.jpg,paper
garbage_classification\cardboard\cardboard84.jpg,cardboard
garbage_classification\clothes\clothes4467.jpg,clothes
garbage_classification\plastic\plastic140.jpg,plastic
garbage_classification\biological\biological208.jpg,biological
garbage_classification\cardboard\cardboard74.jpg,cardboard
garbage_classification\clothes\clothes4783.jpg,clothes
garbage_classification\paper\paper815.jpg,paper
garbage_classification\metal\metal98.jpg,metal
garbage_classification\clothes\clothes1691.jpg,clothes
garbage_classification\plastic\plastic49.jpg,plastic
garbage_classification\shoes\shoes1144.jpg,shoes
garbage_classification\metal\metal388.jpg,metal
garbage_classification\paper\paper807.jpg,paper
garbage_classification\metal\metal263.jpg,metal
garbage_classification\paper\paper600.jpg,paper
garbage_classification\battery\battery96.jpg,battery
garbage_classification\metal\metal158.jpg,metal
garbage_classification\cardboard\cardboard392.jpg,cardboard
garbage_classification\clothes\clothes4730.jpg,clothes
garbage_classification\plastic\plastic148.jpg,plastic
garbage_classification\clothes\clothes1776.jpg,clothes
garbage_classification\clothes\clothes3451.jpg,clothes
garbage_classification\clothes\clothes2161.jpg,clothes
garbage_classification\cardboard\cardboard768.jpg,cardboard
garbage_classification\shoes\shoes1757.jpg,shoes
garbage_classification\biological\biological546.jpg,biological
garbage_classification\metal\metal304.jpg,metal
garbage_classification\clothes\clothes2796.jpg,clothes
garbage_classification\metal\metal95.jpg,metal
garbage_classification\clothes\clothes3732.jpg,clothes
garbage_classification\green-glass\green-glass28.jpg,green-glass
garbage_classification\clothes\clothes4029.jpg,clothes
garbage_classification\clothes\clothes2571.jpg,clothes
garbage_classification\clothes\clothes1483.jpg,clothes
garbage_classification\plastic\plastic59.jpg,plastic
garbage_classification\white-glass\white-glass634.jpg,white-glass
garbage_classification\trash\trash194.jpg,trash
garbage_classification\biological\biological258.jpg,biological
garbage_classification\clothes\clothes4034.jpg,clothes
garbage_classification\clothes\clothes1791.jpg,clothes
garbage_classification\clothes\clothes1325.jpg,clothes
garbage_classification\metal\metal403.jpg,metal
garbage_classification\metal\metal375.jpg,metal
garbage_classification\paper\paper1020.jpg,paper
garbage_classification\clothes\clothes4874.jpg,clothes
garbage_classification\clothes\clothes2693.jpg,clothes
garbage_classification\shoes\shoes1322.jpg,shoes
garbage_classification\green-glass\green-glass521.jpg,green-glass
garbage_classification\battery\battery324.jpg,battery
garbage_classification\cardboard\cardboard146.jpg,cardboard
garbage_classification\clothes\clothes2232.jpg,clothes
garbage_classification\clothes\clothes1300.jpg,clothes
garbage_classification\clothes\clothes988.jpg,clothes
garbage_classification\brown-glass\brown-glass343.jpg,brown-glass
garbage_classification\shoes\shoes612.jpg,shoes
garbage_classification\biological\biological398.jpg,biological
garbage_classification\battery\battery746.jpg,battery
garbage_classification\clothes\clothes283.jpg,clothes
garbage_classification\metal\metal681.jpg,metal
garbage_classification\shoes\shoes1012.jpg,shoes
garbage_classification\clothes\clothes3996.jpg,clothes
garbage_classification\clothes\clothes3173.jpg,clothes
garbage_classification\paper\paper38.jpg,paper
garbage_classification\biological\biological394.jpg,biological
garbage_classification\plastic\plastic370.jpg,plastic
garbage_classification\battery\battery200.jpg,battery
garbage_classification\clothes\clothes3337.jpg,clothes
garbage_classification\battery\battery661.jpg,battery
garbage_classification\shoes\shoes95.jpg,shoes
garbage_classification\clothes\clothes4260.jpg,clothes
garbage_classification\clothes\clothes1633.jpg,clothes
garbage_classification\cardboard\cardboard245.jpg,cardboard
garbage_classification\clothes\clothes216.jpg,clothes
garbage_classification\paper\paper963.jpg,paper
garbage_classification\clothes\clothes867.jpg,clothes
garbage_classification\trash\trash48.jpg,trash
garbage_classification\clothes\clothes4571.jpg,clothes
garbage_classification\paper\paper878.jpg,paper
garbage_classification\clothes\clothes2665.jpg,clothes
garbage_classification\brown-glass\brown-glass270.jpg,brown-glass
garbage_classification\trash\trash644.jpg,trash
garbage_classification\clothes\clothes799.jpg,clothes
garbage_classification\shoes\shoes1621.jpg,shoes
garbage_classification\clothes\clothes3497.jpg,clothes
garbage_classification\metal\metal370.jpg,metal
garbage_classification\paper\paper422.jpg,paper
garbage_classification\clothes\clothes474.jpg,clothes
garbage_classification\clothes\clothes1274.jpg,clothes
garbage_classification\paper\paper1012.jpg,paper
garbage_classification\clothes\clothes3325.jpg,clothes
garbage_classification\cardboard\cardboard70.jpg,cardboard
garbage_classification\clothes\clothes5081.jpg,clothes
garbage_classification\trash\trash16.jpg,trash
garbage_classification\battery\battery715.jpg,battery
garbage_classification\shoes\shoes1235.jpg,shoes
garbage_classification\brown-glass\brown-glass39.jpg,brown-glass
garbage_classification\clothes\clothes4136.jpg,clothes
garbage_classification\battery\battery573.jpg,battery
garbage_classification\metal\metal37.jpg,metal
garbage_classification\shoes\shoes770.jpg,shoes
garbage_classification\clothes\clothes1937.jpg,clothes
garbage_classification\clothes\clothes830.jpg,clothes
garbage_classification\clothes\clothes1968.jpg,clothes
garbage_classification\trash\trash667.jpg,trash
garbage_classification\shoes\shoes1673.jpg,shoes
garbage_classification\white-glass\white-glass125.jpg,white-glass
garbage_classification\clothes\clothes441.jpg,clothes
garbage_classification\clothes\clothes1809.jpg,clothes
garbage_classification\shoes\shoes336.jpg,shoes
garbage_classification\white-glass\white-glass176.jpg,white-glass
garbage_classification\clothes\clothes5182.jpg,clothes
garbage_classification\shoes\shoes1900.jpg,shoes
garbage_classification\white-glass\white-glass272.jpg,white-glass
garbage_classification\biological\biological627.jpg,biological
garbage_classification\clothes\clothes2421.jpg,clothes
garbage_classification\shoes\shoes1629.jpg,shoes
garbage_classification\clothes\clothes4481.jpg,clothes
garbage_classification\clothes\clothes130.jpg,clothes
garbage_classification\clothes\clothes2648.jpg,clothes
garbage_classification\paper\paper960.jpg,paper
garbage_classification\paper\paper885.jpg,paper
garbage_classification\clothes\clothes2552.jpg,clothes
garbage_classification\clothes\clothes4563.jpg,clothes
garbage_classification\metal\metal635.jpg,metal
garbage_classification\clothes\clothes542.jpg,clothes
garbage_classification\plastic\plastic776.jpg,plastic
garbage_classification\paper\paper805.jpg,paper
garbage_classification\brown-glass\brown-glass84.jpg,brown-glass
garbage_classification\clothes\clothes1.jpg,clothes
garbage_classification\metal\metal433.jpg,metal
garbage_classification\metal\metal47.jpg,metal
garbage_classification\white-glass\white-glass66.jpg,white-glass
garbage_classification\white-glass\white-glass233.jpg,white-glass
garbage_classification\clothes\clothes3122.jpg,clothes
garbage_classification\shoes\shoes67.jpg,shoes
garbage_classification\metal\metal604.jpg,metal
garbage_classification\white-glass\white-glass347.jpg,white-glass
garbage_classification\plastic\plastic169.jpg,plastic
garbage_classification\clothes\clothes3150.jpg,clothes
garbage_classification\metal\metal238.jpg,metal
garbage_classification\paper\paper267.jpg,paper
garbage_classification\clothes\clothes223.jpg,clothes
garbage_classification\green-glass\green-glass581.jpg,green-glass
garbage_classification\metal\metal677.jpg,metal
garbage_classification\battery\battery437.jpg,battery
garbage_classification\shoes\shoes414.jpg,shoes
garbage_classification\clothes\clothes139.jpg,clothes
garbage_classification\biological\biological648.jpg,biological
garbage_classification\shoes\shoes408.jpg,shoes
garbage_classification\shoes\shoes1614.jpg,shoes
garbage_classification\paper\paper1048.jpg,paper
garbage_classification\cardboard\cardboard639.jpg,cardboard
garbage_classification\cardboard\cardboard587.jpg,cardboard
garbage_classification\shoes\shoes422.jpg,shoes
garbage_classification\clothes\clothes3501.jpg,clothes
garbage_classification\plastic\plastic268.jpg,plastic
garbage_classification\shoes\shoes241.jpg,shoes
garbage_classification\brown-glass\brown-glass155.jpg,brown-glass
garbage_classification\paper\paper447.jpg,paper
garbage_classification\trash\trash107.jpg,trash
garbage_classification\clothes\clothes1505.jpg,clothes
garbage_classification\cardboard\cardboard878.jpg,cardboard
garbage_classification\plastic\plastic628.jpg,plastic
garbage_classification\metal\metal406.jpg,metal
garbage_classification\clothes\clothes1400.jpg,clothes
garbage_classification\shoes\shoes366.jpg,shoes
garbage_classification\metal\metal184.jpg,metal
garbage_classification\paper\paper936.jpg,paper
garbage_classification\paper\paper996.jpg,paper
garbage_classification\clothes\clothes3887.jpg,clothes
garbage_classification\clothes\clothes2317.jpg,clothes
garbage_classification\paper\paper58.jpg,paper
garbage_classification\metal\metal720.jpg,metal
garbage_classification\clothes\clothes3944.jpg,clothes
garbage_classification\shoes\shoes1173.jpg,shoes
garbage_classification\clothes\clothes114.jpg,clothes
garbage_classification\biological\biological50.jpg,biological
garbage_classification\shoes\shoes1274.jpg,shoes
garbage_classification\shoes\shoes814.jpg,shoes
garbage_classification\clothes\clothes571.jpg,clothes
garbage_classification\clothes\clothes2626.jpg,clothes
garbage_classification\shoes\shoes993.jpg,shoes
garbage_classification\brown-glass\brown-glass70.jpg,brown-glass
garbage_classification\white-glass\white-glass420.jpg,white-glass
garbage_classification\clothes\clothes2386.jpg,clothes
garbage_classification\shoes\shoes1686.jpg,shoes
garbage_classification\cardboard\cardboard45.jpg,cardboard
garbage_classification\shoes\shoes1321.jpg,shoes
garbage_classification\clothes\clothes1583.jpg,clothes
garbage_classification\shoes\shoes1767.jpg,shoes
garbage_classification\clothes\clothes3118.jpg,clothes
garbage_classification\green-glass\green-glass540.jpg,green-glass
garbage_classification\shoes\shoes947.jpg,shoes
garbage_classification\clothes\clothes5180.jpg,clothes
garbage_classification\paper\paper887.jpg,paper
garbage_classification\metal\metal398.jpg,metal
garbage_classification\clothes\clothes5216.jpg,clothes
garbage_classification\green-glass\green-glass394.jpg,green-glass
garbage_classification\shoes\shoes1927.jpg,shoes
garbage_classification\green-glass\green-glass470.jpg,green-glass
garbage_classification\clothes\clothes916.jpg,clothes
garbage_classification\shoes\shoes1087.jpg,shoes
garbage_classification\trash\trash210.jpg,trash
garbage_classification\clothes\clothes3080.jpg,clothes
garbage_classification\cardboard\cardboard638.jpg,cardboard
garbage_classification\brown-glass\brown-glass95.jpg,brown-glass
garbage_classification\plastic\plastic546.jpg,plastic
garbage_classification\clothes\clothes3098.jpg,clothes
garbage_classification\clothes\clothes5155.jpg,clothes
garbage_classification\clothes\clothes2770.jpg,clothes
garbage_classification\clothes\clothes3403.jpg,clothes
garbage_classification\clothes\clothes994.jpg,clothes
garbage_classification\battery\battery878.jpg,battery
garbage_classification\green-glass\green-glass522.jpg,green-glass
garbage_classification\biological\biological721.jpg,biological
garbage_classification\trash\trash141.jpg,trash
garbage_classification\shoes\shoes324.jpg,shoes
garbage_classification\trash\trash570.jpg,trash
garbage_classification\shoes\shoes1708.jpg,shoes
garbage_classification\metal\metal767.jpg,metal
garbage_classification\white-glass\white-glass327.jpg,white-glass
garbage_classification\shoes\shoes206.jpg,shoes
garbage_classification\clothes\clothes3033.jpg,clothes
garbage_classification\clothes\clothes537.jpg,clothes
garbage_classification\clothes\clothes1931.jpg,clothes
garbage_classification\biological\biological291.jpg,biological
garbage_classification\battery\battery462.jpg,battery
garbage_classification\clothes\clothes2036.jpg,clothes
garbage_classification\shoes\shoes1306.jpg,shoes
garbage_classification\clothes\clothes5274.jpg,clothes
garbage_classification\battery\battery455.jpg,battery
garbage_classification\clothes\clothes3817.jpg,clothes
garbage_classification\shoes\shoes1842.jpg,shoes
garbage_classification\white-glass\white-glass392.jpg,white-glass
garbage_classification\clothes\clothes1227.jpg,clothes
garbage_classification\clothes\clothes346.jpg,clothes
garbage_classification\plastic\plastic233.jpg,plastic
garbage_classification\clothes\clothes3714.jpg,clothes
garbage_classification\clothes\clothes2596.jpg,clothes
garbage_classification\clothes\clothes247.jpg,clothes
garbage_classification\white-glass\white-glass580.jpg,white-glass
garbage_classification\clothes\clothes5195.jpg,clothes
garbage_classification\green-glass\green-glass426.jpg,green-glass
garbage_classification\clothes\clothes3404.jpg,clothes
garbage_classification\battery\battery3.jpg,battery
garbage_classification\cardboard\cardboard665.jpg,cardboard
garbage_classification\shoes\shoes353.jpg,shoes
garbage_classification\clothes\clothes2082.jpg,clothes
garbage_classification\white-glass\white-glass346.jpg,white-glass
garbage_classification\biological\biological322.jpg,biological
garbage_classification\clothes\clothes5089.jpg,clothes
garbage_classification\brown-glass\brown-glass42.jpg,brown-glass
garbage_classification\plastic\plastic807.jpg,plastic
garbage_classification\cardboard\cardboard211.jpg,cardboard
garbage_classification\cardboard\cardboard561.jpg,cardboard
garbage_classification\green-glass\green-glass377.jpg,green-glass
garbage_classification\shoes\shoes202.jpg,shoes
garbage_classification\clothes\clothes3123.jpg,clothes
garbage_classification\clothes\clothes1745.jpg,clothes
garbage_classification\paper\paper716.jpg,paper
garbage_classification\battery\battery334.jpg,battery
garbage_classification\shoes\shoes1391.jpg,shoes
garbage_classification\clothes\clothes2030.jpg,clothes
garbage_classification\clothes\clothes2012.jpg,clothes
garbage_classification\clothes\clothes4180.jpg,clothes
garbage_classification\shoes\shoes659.jpg,shoes
garbage_classification\brown-glass\brown-glass381.jpg,brown-glass
garbage_classification\shoes\shoes338.jpg,shoes
garbage_classification\brown-glass\brown-glass118.jpg,brown-glass
garbage_classification\shoes\shoes981.jpg,shoes
garbage_classification\clothes\clothes5218.jpg,clothes
garbage_classification\shoes\shoes855.jpg,shoes
garbage_classification\clothes\clothes1221.jpg,clothes
garbage_classification\shoes\shoes63.jpg,shoes
garbage_classification\metal\metal477.jpg,metal
garbage_classification\cardboard\cardboard163.jpg,cardboard
garbage_classification\battery\battery57.jpg,battery
garbage_classification\clothes\clothes4826.jpg,clothes
garbage_classification\clothes\clothes5008.jpg,clothes
garbage_classification\clothes\clothes4734.jpg,clothes
garbage_classification\plastic\plastic840.jpg,plastic
garbage_classification\green-glass\green-glass421.jpg,green-glass
garbage_classification\biological\biological499.jpg,biological
garbage_classification\plastic\plastic515.jpg,plastic
garbage_classification\paper\paper812.jpg,paper
garbage_classification\paper\paper549.jpg,paper
garbage_classification\clothes\clothes1523.jpg,clothes
garbage_classification\clothes\clothes4872.jpg,clothes
garbage_classification\green-glass\green-glass50.jpg,green-glass
garbage_classification\clothes\clothes3635.jpg,clothes
garbage_classification\cardboard\cardboard704.jpg,cardboard
garbage_classification\paper\paper186.jpg,paper
garbage_classification\paper\paper438.jpg,paper
